id,book_name,char,label,baseline_loss,primed_loss,delta,baseline_ppl,primed_ppl,ppl_ratio
46,In Search of the Castaways,Thalcave,1,1.7390344142913818,1.7282265424728394,-0.01080787181854248,5.691844940185547,5.630659103393555,0.9892502628875204
137,The Count of Monte Cristo,Faria,0,2.6500141620635986,2.664760112762451,0.014745950698852539,14.1542387008667,14.364502906799316,1.0148552112463485
74,In Search of the Castaways,Kai-Koumou,1,2.8784003257751465,2.94205904006958,0.0636587142944336,17.785799026489258,18.954833984375,1.0657285599676822
109,The Count of Monte Cristo,Noirtier,0,3.397083044052124,3.395933151245117,-0.001149892807006836,29.87682342529297,29.842487335205078,0.9988507449537348
104,The Count of Monte Cristo,Noirtier,1,3.5124292373657227,3.451096773147583,-0.06133246421813965,33.52962112426758,31.53495979309082,0.9405104721051235
35,In Search of the Castaways,Tom Ayrton/Ben Joyce,0,1.6269629001617432,1.4744435548782349,-0.1525193452835083,5.088397026062012,4.3686041831970215,0.8585423190882475
18,In Search of the Castaways,Jacques Paganel,1,1.7390344142913818,1.7078875303268433,-0.031146883964538574,5.691844940185547,5.517293930053711,0.9693331403145804
31,In Search of the Castaways,Tom Ayrton/Ben Joyce,1,1.9331032037734985,1.8337632417678833,-0.09933996200561523,6.910923004150391,6.25739049911499,0.9054348450065327
68,In Search of the Castaways,Kai-Koumou,1,2.0176875591278076,1.9860762357711792,-0.03161132335662842,7.520913124084473,7.286885738372803,0.9688831154075911
9,In Search of the Castaways,Jacques Paganel,1,1.597055196762085,1.5488617420196533,-0.04819345474243164,4.938467979431152,4.70611047744751,0.9529494768516436
84,In Search of the Castaways,Kai-Koumou,1,2.361788511276245,2.3961243629455566,0.03433585166931152,10.60991096496582,10.980537414550781,1.0349320979986334
83,In Search of the Castaways,Kai-Koumou,0,1.5460116863250732,1.549533486366272,0.0035218000411987305,4.692716598510742,4.709272861480713,1.0035280764611323
134,The Count of Monte Cristo,Faria,1,2.9361326694488525,2.919753074645996,-0.016379594802856445,18.84283447265625,18.53670883178711,0.9837537371931291
88,The Count of Monte Cristo,Noirtier,1,3.2401351928710938,3.181270122528076,-0.05886507034301758,25.537174224853516,24.077314376831055,0.9428339316179437
67,In Search of the Castaways,Kai-Koumou,1,1.7390344142913818,1.7678040266036987,0.028769612312316895,5.691844940185547,5.857975006103516,1.0291873843479216
112,The Count of Monte Cristo,Noirtier,0,3.7053303718566895,3.856553316116333,0.15122294425964355,40.66347885131836,47.302032470703125,1.1632559192404055
79,In Search of the Castaways,Kai-Koumou,0,2.1660332679748535,2.126784086227417,-0.03924918174743652,8.723610877990723,8.387848854064941,0.9615111186615517
55,In Search of the Castaways,Thalcave,1,2.233865737915039,2.239025592803955,0.005159854888916016,9.335886001586914,9.384182929992676,1.005173256014218
12,In Search of the Castaways,Jacques Paganel,0,1.6438252925872803,1.568558692932129,-0.07526659965515137,5.174927234649658,4.799725532531738,0.9274962361585126
13,In Search of the Castaways,Jacques Paganel,1,2.049898862838745,2.0728726387023926,0.02297377586364746,7.767115592956543,7.947620868682861,1.0232396793334717
102,The Count of Monte Cristo,Noirtier,1,4.229048728942871,4.266702651977539,0.03765392303466797,68.65189361572266,71.28619384765625,1.0383718509889768
92,The Count of Monte Cristo,Noirtier,0,3.91737961769104,3.761671543121338,-0.15570807456970215,50.26854705810547,43.0202751159668,0.8558090025207933
1,In Search of the Castaways,Jacques Paganel,1,2.233865737915039,2.278879165649414,0.045013427734375,9.335886001586914,9.765727996826172,1.046041907020522
11,In Search of the Castaways,Jacques Paganel,0,1.6322038173675537,1.5799726247787476,-0.05223119258880615,5.115135192871094,4.854823112487793,0.9491094427482396
65,In Search of the Castaways,Thalcave,1,1.9984300136566162,2.03322172164917,0.03479170799255371,7.377464294433594,7.6386566162109375,1.0354040780616744
107,The Count of Monte Cristo,Noirtier,0,3.852851629257202,3.9378418922424316,0.08499026298522949,47.12725830078125,51.30775451660156,1.0887065440798411
66,In Search of the Castaways,Thalcave,0,2.233865737915039,2.254319190979004,0.020453453063964844,9.335886001586914,9.528803825378418,1.0206641151957845
89,The Count of Monte Cristo,Noirtier,0,2.9615516662597656,2.953829765319824,-0.007721900939941406,19.327939987182617,19.17926597595215,0.9923078190780258
34,In Search of the Castaways,Tom Ayrton/Ben Joyce,1,2.017221689224243,2.016364574432373,-0.0008571147918701172,7.5174102783203125,7.510969638824463,0.9991432369316833
99,The Count of Monte Cristo,Noirtier,1,2.92800235748291,2.9009573459625244,-0.027045011520385742,18.690256118774414,18.191553115844727,0.9733174869429029
123,The Count of Monte Cristo,Faria,1,3.8371047973632812,3.8655176162719727,0.028412818908691406,46.390968322753906,47.727970123291016,1.0288203037978265
116,The Count of Monte Cristo,Faria,0,3.4437644481658936,3.6050994396209717,0.16133499145507812,31.304580688476562,36.785343170166016,1.1750786102593274
43,In Search of the Castaways,Tom Ayrton/Ben Joyce,0,2.006737470626831,2.00065541267395,-0.006082057952880859,7.439007759094238,7.393900394439697,0.9939363734902149
108,The Count of Monte Cristo,Noirtier,1,3.547107696533203,3.652517557144165,0.10540986061096191,34.712772369384766,38.571651458740234,1.1111659722332878
128,The Count of Monte Cristo,Faria,1,4.385056495666504,4.4561381340026855,0.07108163833618164,80.24275207519531,86.15414428710938,1.0736688617854795
29,In Search of the Castaways,Tom Ayrton/Ben Joyce,1,1.7777338027954102,1.7564332485198975,-0.021300554275512695,5.916433334350586,5.79174280166626,0.9789247126371935
